datetime,flow
2016-04-18 00:03:00,0.0
2016-04-18 00:06:00,20.0
2016-04-18 00:09:00,0.0
2016-04-18 00:12:00,20.0
2016-04-18 00:15:00,0.0
2016-04-18 00:18:00,0.0
2016-04-18 00:21:00,0.0
2016-04-18 00:24:00,0.0
2016-04-18 00:27:00,20.0
2016-04-18 00:30:00,0.0
2016-04-18 00:33:00,0.0
2016-04-18 00:36:00,20.0
2016-04-18 00:39:00,0.0
2016-04-18 00:42:00,0.0
2016-04-18 00:45:00,0.0
2016-04-18 00:48:00,0.0
2016-04-18 00:51:00,20.0
2016-04-18 00:54:00,0.0
2016-04-18 00:57:00,20.0
2016-04-18 01:00:00,0.0
2016-04-18 01:03:00,40.0
2016-04-18 01:06:00,0.0
2016-04-18 01:09:00,0.0
2016-04-18 01:12:00,20.0
2016-04-18 01:15:00,0.0
2016-04-18 01:18:00,0.0
2016-04-18 01:21:00,0.0
2016-04-18 01:24:00,0.0
2016-04-18 01:27:00,20.0
2016-04-18 01:30:00,0.0
2016-04-18 01:33:00,0.0
2016-04-18 01:36:00,0.0
2016-04-18 01:39:00,20.0
2016-04-18 01:42:00,0.0
2016-04-18 01:45:00,20.0
2016-04-18 01:48:00,20.0
2016-04-18 01:51:00,0.0
2016-04-18 01:54:00,60.0
2016-04-18 01:57:00,0.0
2016-04-18 02:00:00,0.0
2016-04-18 02:03:00,20.0
2016-04-18 02:06:00,0.0
2016-04-18 02:09:00,20.0
2016-04-18 02:12:00,0.0
2016-04-18 02:15:00,20.0
2016-04-18 02:18:00,0.0
2016-04-18 02:21:00,0.0
2016-04-18 02:24:00,40.0
2016-04-18 02:27:00,0.0
2016-04-18 02:30:00,0.0
2016-04-18 02:33:00,20.0
2016-04-18 02:36:00,20.0
2016-04-18 02:39:00,20.0
2016-04-18 02:42:00,0.0
2016-04-18 02:45:00,60.0
2016-04-18 02:48:00,20.0
2016-04-18 02:51:00,20.0
2016-04-18 02:54:00,20.0
2016-04-18 02:57:00,20.0
2016-04-18 03:00:00,20.0
2016-04-18 03:03:00,100.0
2016-04-18 03:06:00,80.0
2016-04-18 03:09:00,60.0
2016-04-18 03:12:00,80.0
2016-04-18 03:15:00,20.0
2016-04-18 03:18:00,60.0
2016-04-18 03:21:00,60.0
2016-04-18 03:24:00,120.0
2016-04-18 03:27:00,140.0
2016-04-18 03:30:00,180.0
2016-04-18 03:33:00,240.0
2016-04-18 03:36:00,300.0
2016-04-18 03:39:00,160.0
2016-04-18 03:42:00,160.0
2016-04-18 03:45:00,420.0
2016-04-18 03:48:00,280.0
2016-04-18 03:51:00,220.0
2016-04-18 03:54:00,260.0
2016-04-18 03:57:00,260.0
2016-04-18 04:00:00,300.0
2016-04-18 04:03:00,180.0
2016-04-18 04:06:00,280.0
2016-04-18 04:09:00,360.0
2016-04-18 04:12:00,300.0
2016-04-18 04:15:00,500.0
2016-04-18 04:18:00,460.0
2016-04-18 04:21:00,620.0
2016-04-18 04:24:00,440.0
2016-04-18 04:27:00,700.0
2016-04-18 04:30:00,640.0
2016-04-18 04:33:00,360.0
2016-04-18 04:36:00,820.0
2016-04-18 04:39:00,500.0
2016-04-18 04:42:00,800.0
2016-04-18 04:45:00,860.0
2016-04-18 04:48:00,700.0
2016-04-18 04:51:00,760.0
2016-04-18 04:54:00,1040.0
2016-04-18 04:57:00,740.0
2016-04-18 05:00:00,860.0
2016-04-18 05:03:00,700.0
2016-04-18 05:06:00,860.0
2016-04-18 05:09:00,920.0
2016-04-18 05:12:00,1000.0
2016-04-18 05:15:00,820.0
2016-04-18 05:18:00,780.0
2016-04-18 05:21:00,800.0
2016-04-18 05:24:00,780.0
2016-04-18 05:27:00,840.0
2016-04-18 05:30:00,780.0
2016-04-18 05:33:00,820.0
2016-04-18 05:36:00,880.0
2016-04-18 05:39:00,840.0
2016-04-18 05:42:00,800.0
2016-04-18 05:45:00,880.0
2016-04-18 05:48:00,780.0
2016-04-18 05:51:00,860.0
2016-04-18 05:54:00,940.0
2016-04-18 05:57:00,900.0
2016-04-18 06:00:00,1020.0
2016-04-18 06:03:00,860.0
2016-04-18 06:06:00,660.0
2016-04-18 06:09:00,960.0
2016-04-18 06:12:00,900.0
2016-04-18 06:15:00,780.0
2016-04-18 06:18:00,780.0
2016-04-18 06:21:00,680.0
2016-04-18 06:24:00,740.0
2016-04-18 06:27:00,800.0
2016-04-18 06:30:00,840.0
2016-04-18 06:33:00,760.0
2016-04-18 06:36:00,760.0
2016-04-18 06:39:00,680.0
2016-04-18 06:42:00,500.0
2016-04-18 06:45:00,720.0
2016-04-18 06:48:00,660.0
2016-04-18 06:51:00,860.0
2016-04-18 06:54:00,560.0
2016-04-18 06:57:00,800.0
2016-04-18 07:00:00,720.0
2016-04-18 07:03:00,720.0
2016-04-18 07:06:00,820.0
2016-04-18 07:09:00,760.0
2016-04-18 07:12:00,620.0
2016-04-18 07:15:00,860.0
2016-04-18 07:18:00,680.0
2016-04-18 07:21:00,720.0
2016-04-18 07:24:00,760.0
2016-04-18 07:27:00,560.0
2016-04-18 07:30:00,580.0
2016-04-18 07:33:00,740.0
2016-04-18 07:36:00,620.0
2016-04-18 07:39:00,660.0
2016-04-18 07:42:00,860.0
2016-04-18 07:45:00,780.0
2016-04-18 07:48:00,880.0
2016-04-18 07:51:00,880.0
2016-04-18 07:54:00,920.0
2016-04-18 07:57:00,520.0
2016-04-18 08:00:00,620.0
2016-04-18 08:03:00,620.0
2016-04-18 08:06:00,580.0
2016-04-18 08:09:00,680.0
2016-04-18 08:12:00,580.0
2016-04-18 08:15:00,580.0
2016-04-18 08:18:00,560.0
2016-04-18 08:21:00,600.0
2016-04-18 08:24:00,500.0
2016-04-18 08:27:00,500.0
2016-04-18 08:30:00,560.0
2016-04-18 08:33:00,440.0
2016-04-18 08:36:00,780.0
2016-04-18 08:39:00,480.0
2016-04-18 08:42:00,480.0
2016-04-18 08:45:00,520.0
2016-04-18 08:48:00,500.0
2016-04-18 08:51:00,440.0
2016-04-18 08:54:00,500.0
2016-04-18 08:57:00,540.0
2016-04-18 09:00:00,420.0
2016-04-18 09:03:00,580.0
2016-04-18 09:06:00,420.0
2016-04-18 09:09:00,340.0
2016-04-18 09:12:00,520.0
2016-04-18 09:15:00,400.0
2016-04-18 09:18:00,560.0
2016-04-18 09:21:00,440.0
2016-04-18 09:24:00,380.0
2016-04-18 09:27:00,360.0
2016-04-18 09:30:00,480.0
2016-04-18 09:33:00,400.0
2016-04-18 09:36:00,500.0
2016-04-18 09:39:00,140.0
2016-04-18 09:42:00,300.0
2016-04-18 09:45:00,240.0
2016-04-18 09:48:00,340.0
2016-04-18 09:51:00,640.0
2016-04-18 09:54:00,400.0
2016-04-18 09:57:00,480.0
2016-04-18 10:00:00,520.0
2016-04-18 10:03:00,400.0
2016-04-18 10:06:00,460.0
2016-04-18 10:09:00,420.0
2016-04-18 10:12:00,500.0
2016-04-18 10:15:00,460.0
2016-04-18 10:18:00,360.0
2016-04-18 10:21:00,460.0
2016-04-18 10:24:00,400.0
2016-04-18 10:27:00,340.0
2016-04-18 10:30:00,500.0
2016-04-18 10:33:00,460.0
2016-04-18 10:36:00,440.0
2016-04-18 10:39:00,340.0
2016-04-18 10:42:00,540.0
2016-04-18 10:45:00,460.0
2016-04-18 10:48:00,660.0
2016-04-18 10:51:00,580.0
2016-04-18 10:54:00,540.0
2016-04-18 10:57:00,360.0
2016-04-18 11:00:00,540.0
2016-04-18 11:03:00,280.0
2016-04-18 11:06:00,420.0
2016-04-18 11:09:00,640.0
2016-04-18 11:12:00,400.0
2016-04-18 11:15:00,680.0
2016-04-18 11:18:00,380.0
2016-04-18 11:21:00,520.0
2016-04-18 11:24:00,380.0
2016-04-18 11:27:00,600.0
2016-04-18 11:30:00,700.0
2016-04-18 11:33:00,400.0
2016-04-18 11:36:00,540.0
2016-04-18 11:39:00,700.0
2016-04-18 11:42:00,620.0
2016-04-18 11:45:00,500.0
2016-04-18 11:48:00,500.0
2016-04-18 11:51:00,520.0
2016-04-18 11:54:00,660.0
2016-04-18 11:57:00,260.0
2016-04-18 12:00:00,580.0
2016-04-18 12:03:00,320.0
2016-04-18 12:06:00,700.0
2016-04-18 12:09:00,500.0
2016-04-18 12:12:00,420.0
2016-04-18 12:15:00,760.0
2016-04-18 12:18:00,860.0
2016-04-18 12:21:00,620.0
2016-04-18 12:24:00,300.0
2016-04-18 12:27:00,380.0
2016-04-18 12:30:00,580.0
2016-04-18 12:33:00,460.0
2016-04-18 12:36:00,760.0
2016-04-18 12:39:00,560.0
2016-04-18 12:42:00,100.0
2016-04-18 12:45:00,560.0
2016-04-18 12:48:00,520.0
2016-04-18 12:51:00,820.0
2016-04-18 12:54:00,480.0
2016-04-18 12:57:00,600.0
2016-04-18 13:00:00,560.0
2016-04-18 13:03:00,400.0
2016-04-18 13:06:00,800.0
2016-04-18 13:09:00,840.0
2016-04-18 13:12:00,480.0
2016-04-18 13:15:00,680.0
2016-04-18 13:18:00,840.0
2016-04-18 13:21:00,660.0
2016-04-18 13:24:00,780.0
2016-04-18 13:27:00,620.0
2016-04-18 13:30:00,640.0
2016-04-18 13:33:00,540.0
2016-04-18 13:36:00,680.0
2016-04-18 13:39:00,900.0
2016-04-18 13:42:00,640.0
2016-04-18 13:45:00,660.0
2016-04-18 13:48:00,660.0
2016-04-18 13:51:00,560.0
2016-04-18 13:54:00,680.0
2016-04-18 13:57:00,600.0
2016-04-18 14:00:00,800.0
2016-04-18 14:03:00,620.0
2016-04-18 14:06:00,720.0
2016-04-18 14:09:00,760.0
2016-04-18 14:12:00,680.0
2016-04-18 14:15:00,860.0
2016-04-18 14:18:00,660.0
2016-04-18 14:21:00,540.0
2016-04-18 14:24:00,660.0
2016-04-18 14:27:00,740.0
2016-04-18 14:30:00,840.0
2016-04-18 14:33:00,700.0
2016-04-18 14:36:00,640.0
2016-04-18 14:39:00,860.0
2016-04-18 14:42:00,840.0
2016-04-18 14:45:00,520.0
2016-04-18 14:48:00,720.0
2016-04-18 14:51:00,840.0
2016-04-18 14:54:00,880.0
2016-04-18 14:57:00,560.0
2016-04-18 15:00:00,600.0
2016-04-18 15:03:00,800.0
2016-04-18 15:06:00,800.0
2016-04-18 15:09:00,820.0
2016-04-18 15:12:00,640.0
2016-04-18 15:15:00,780.0
2016-04-18 15:18:00,740.0
2016-04-18 15:21:00,680.0
2016-04-18 15:24:00,680.0
2016-04-18 15:27:00,640.0
2016-04-18 15:30:00,860.0
2016-04-18 15:33:00,780.0
2016-04-18 15:36:00,480.0
2016-04-18 15:39:00,620.0
2016-04-18 15:42:00,760.0
2016-04-18 15:45:00,640.0
2016-04-18 15:48:00,580.0
2016-04-18 15:51:00,760.0
2016-04-18 15:54:00,720.0
2016-04-18 15:57:00,680.0
2016-04-18 16:00:00,500.0
2016-04-18 16:03:00,660.0
2016-04-18 16:06:00,660.0
2016-04-18 16:09:00,740.0
2016-04-18 16:12:00,560.0
2016-04-18 16:15:00,800.0
2016-04-18 16:18:00,620.0
2016-04-18 16:21:00,740.0
2016-04-18 16:24:00,800.0
2016-04-18 16:27:00,620.0
2016-04-18 16:30:00,780.0
2016-04-18 16:33:00,780.0
2016-04-18 16:36:00,760.0
2016-04-18 16:39:00,740.0
2016-04-18 16:42:00,720.0
2016-04-18 16:45:00,800.0
2016-04-18 16:48:00,660.0
2016-04-18 16:51:00,840.0
2016-04-18 16:54:00,680.0
2016-04-18 16:57:00,580.0
2016-04-18 17:00:00,700.0
2016-04-18 17:03:00,500.0
2016-04-18 17:06:00,560.0
2016-04-18 17:09:00,480.0
2016-04-18 17:12:00,500.0
2016-04-18 17:15:00,660.0
2016-04-18 17:18:00,380.0
2016-04-18 17:21:00,340.0
2016-04-18 17:24:00,600.0
2016-04-18 17:27:00,400.0
2016-04-18 17:30:00,500.0
2016-04-18 17:33:00,340.0
2016-04-18 17:36:00,500.0
2016-04-18 17:39:00,520.0
2016-04-18 17:42:00,460.0
2016-04-18 17:45:00,240.0
2016-04-18 17:48:00,360.0
2016-04-18 17:51:00,320.0
2016-04-18 17:54:00,360.0
2016-04-18 17:57:00,360.0
2016-04-18 18:00:00,300.0
2016-04-18 18:03:00,300.0
2016-04-18 18:06:00,360.0
2016-04-18 18:09:00,460.0
2016-04-18 18:12:00,280.0
2016-04-18 18:15:00,260.0
2016-04-18 18:18:00,380.0
2016-04-18 18:21:00,300.0
2016-04-18 18:24:00,260.0
2016-04-18 18:27:00,280.0
2016-04-18 18:30:00,360.0
2016-04-18 18:33:00,220.0
2016-04-18 18:36:00,280.0
2016-04-18 18:39:00,240.0
2016-04-18 18:42:00,240.0
2016-04-18 18:45:00,140.0
2016-04-18 18:48:00,240.0
2016-04-18 18:51:00,400.0
2016-04-18 18:54:00,240.0
2016-04-18 18:57:00,180.0
2016-04-18 19:00:00,100.0
2016-04-18 19:03:00,180.0
2016-04-18 19:06:00,80.0
2016-04-18 19:09:00,240.0
2016-04-18 19:12:00,240.0
2016-04-18 19:15:00,160.0
2016-04-18 19:18:00,200.0
2016-04-18 19:21:00,120.0
2016-04-18 19:24:00,100.0
2016-04-18 19:27:00,160.0
2016-04-18 19:30:00,100.0
2016-04-18 19:33:00,160.0
2016-04-18 19:36:00,220.0
2016-04-18 19:39:00,240.0
2016-04-18 19:42:00,60.0
2016-04-18 19:45:00,180.0
2016-04-18 19:48:00,100.0
2016-04-18 19:51:00,120.0
2016-04-18 19:54:00,120.0
2016-04-18 19:57:00,120.0
2016-04-18 20:00:00,140.0
2016-04-18 20:03:00,120.0
2016-04-18 20:06:00,140.0
2016-04-18 20:09:00,200.0
2016-04-18 20:12:00,80.0
2016-04-18 20:15:00,240.0
2016-04-18 20:18:00,120.0
2016-04-18 20:21:00,180.0
2016-04-18 20:24:00,120.0
2016-04-18 20:27:00,100.0
2016-04-18 20:30:00,20.0
2016-04-18 20:33:00,180.0
2016-04-18 20:36:00,140.0
2016-04-18 20:39:00,140.0
2016-04-18 20:42:00,80.0
2016-04-18 20:45:00,160.0
2016-04-18 20:48:00,40.0
2016-04-18 20:51:00,120.0
2016-04-18 20:54:00,100.0
2016-04-18 20:57:00,140.0
2016-04-18 21:00:00,180.0
2016-04-18 21:03:00,100.0
2016-04-18 21:06:00,60.0
2016-04-18 21:09:00,120.0
2016-04-18 21:12:00,20.0
2016-04-18 21:15:00,60.0
2016-04-18 21:18:00,100.0
2016-04-18 21:21:00,40.0
2016-04-18 21:24:00,20.0
2016-04-18 21:27:00,40.0
2016-04-18 21:30:00,20.0
2016-04-18 21:33:00,40.0
2016-04-18 21:36:00,20.0
2016-04-18 21:39:00,80.0
2016-04-18 21:42:00,0.0
2016-04-18 21:45:00,20.0
2016-04-18 21:48:00,0.0
2016-04-18 21:51:00,0.0
2016-04-18 21:54:00,40.0
2016-04-18 21:57:00,20.0
2016-04-18 22:00:00,20.0
2016-04-18 22:03:00,20.0
2016-04-18 22:06:00,0.0
2016-04-18 22:09:00,0.0
2016-04-18 22:12:00,60.0
2016-04-18 22:15:00,20.0
2016-04-18 22:18:00,0.0
2016-04-18 22:21:00,60.0
2016-04-18 22:24:00,0.0
2016-04-18 22:27:00,0.0
2016-04-18 22:30:00,20.0
2016-04-18 22:33:00,20.0
2016-04-18 22:36:00,0.0
2016-04-18 22:39:00,20.0
2016-04-18 22:42:00,40.0
2016-04-18 22:45:00,60.0
2016-04-18 22:48:00,60.0
2016-04-18 22:51:00,40.0
2016-04-18 22:54:00,0.0
2016-04-18 22:57:00,0.0
2016-04-18 23:00:00,40.0
2016-04-18 23:03:00,0.0
2016-04-18 23:06:00,0.0
2016-04-18 23:09:00,40.0
2016-04-18 23:12:00,20.0
2016-04-18 23:15:00,0.0
2016-04-18 23:18:00,0.0
2016-04-18 23:21:00,40.0
2016-04-18 23:24:00,0.0
2016-04-18 23:27:00,0.0
2016-04-18 23:30:00,0.0
2016-04-18 23:33:00,0.0
2016-04-18 23:36:00,20.0
2016-04-18 23:39:00,0.0
2016-04-18 23:42:00,0.0
2016-04-18 23:45:00,0.0
2016-04-18 23:48:00,0.0
2016-04-18 23:51:00,0.0
2016-04-18 23:54:00,0.0
2016-04-18 23:57:00,20.0
2016-04-19 00:00:00,20.0
2016-04-19 00:03:00,20.0
2016-04-19 00:06:00,0.0
2016-04-19 00:09:00,0.0
2016-04-19 00:12:00,0.0
2016-04-19 00:15:00,0.0
2016-04-19 00:18:00,0.0
2016-04-19 00:21:00,0.0
2016-04-19 00:24:00,0.0
2016-04-19 00:27:00,0.0
2016-04-19 00:30:00,0.0
2016-04-19 00:33:00,0.0
2016-04-19 00:36:00,0.0
2016-04-19 00:39:00,0.0
2016-04-19 00:42:00,0.0
2016-04-19 00:45:00,0.0
2016-04-19 00:48:00,20.0
2016-04-19 00:51:00,0.0
2016-04-19 00:54:00,0.0
2016-04-19 00:57:00,60.0
2016-04-19 01:00:00,0.0
2016-04-19 01:03:00,0.0
2016-04-19 01:06:00,20.0
2016-04-19 01:09:00,0.0
2016-04-19 01:12:00,0.0
2016-04-19 01:15:00,0.0
2016-04-19 01:18:00,0.0
2016-04-19 01:21:00,0.0
2016-04-19 01:24:00,20.0
2016-04-19 01:27:00,20.0
2016-04-19 01:30:00,0.0
2016-04-19 01:33:00,0.0
2016-04-19 01:36:00,0.0
2016-04-19 01:39:00,0.0
2016-04-19 01:42:00,0.0
2016-04-19 01:45:00,0.0
2016-04-19 01:48:00,20.0
2016-04-19 01:51:00,40.0
2016-04-19 01:54:00,0.0
2016-04-19 01:57:00,0.0
2016-04-19 02:00:00,0.0
2016-04-19 02:03:00,40.0
2016-04-19 02:06:00,20.0
2016-04-19 02:09:00,20.0
2016-04-19 02:12:00,0.0
2016-04-19 02:15:00,0.0
2016-04-19 02:18:00,0.0
2016-04-19 02:21:00,0.0
2016-04-19 02:24:00,60.0
2016-04-19 02:27:00,20.0
2016-04-19 02:30:00,40.0
2016-04-19 02:33:00,40.0
2016-04-19 02:36:00,40.0
2016-04-19 02:39:00,20.0
2016-04-19 02:42:00,0.0
2016-04-19 02:45:00,20.0
2016-04-19 02:48:00,40.0
2016-04-19 02:51:00,0.0
2016-04-19 02:54:00,60.0
2016-04-19 02:57:00,0.0
2016-04-19 03:00:00,40.0
2016-04-19 03:03:00,0.0
2016-04-19 03:06:00,80.0
2016-04-19 03:09:00,40.0
2016-04-19 03:12:00,60.0
2016-04-19 03:15:00,40.0
2016-04-19 03:18:00,80.0
2016-04-19 03:21:00,100.0
2016-04-19 03:24:00,140.0
2016-04-19 03:27:00,160.0
2016-04-19 03:30:00,200.0
2016-04-19 03:33:00,180.0
2016-04-19 03:36:00,220.0
2016-04-19 03:39:00,180.0
2016-04-19 03:42:00,280.0
2016-04-19 03:45:00,240.0
2016-04-19 03:48:00,340.0
2016-04-19 03:51:00,400.0
2016-04-19 03:54:00,240.0
2016-04-19 03:57:00,160.0
2016-04-19 04:00:00,320.0
2016-04-19 04:03:00,260.0
2016-04-19 04:06:00,280.0
2016-04-19 04:09:00,280.0
2016-04-19 04:12:00,400.0
2016-04-19 04:15:00,520.0
2016-04-19 04:18:00,500.0
2016-04-19 04:21:00,600.0
2016-04-19 04:24:00,500.0
2016-04-19 04:27:00,640.0
2016-04-19 04:30:00,680.0
2016-04-19 04:33:00,660.0
2016-04-19 04:36:00,660.0
2016-04-19 04:39:00,800.0
2016-04-19 04:42:00,500.0
2016-04-19 04:45:00,640.0
2016-04-19 04:48:00,740.0
2016-04-19 04:51:00,800.0
2016-04-19 04:54:00,820.0
2016-04-19 04:57:00,540.0
2016-04-19 05:00:00,1000.0
2016-04-19 05:03:00,860.0
2016-04-19 05:06:00,660.0
2016-04-19 05:09:00,960.0
2016-04-19 05:12:00,940.0
2016-04-19 05:15:00,640.0
2016-04-19 05:18:00,820.0
2016-04-19 05:21:00,480.0
2016-04-19 05:24:00,860.0
2016-04-19 05:27:00,840.0
2016-04-19 05:30:00,700.0
2016-04-19 05:33:00,860.0
2016-04-19 05:36:00,740.0
2016-04-19 05:39:00,780.0
2016-04-19 05:42:00,980.0
2016-04-19 05:45:00,760.0
2016-04-19 05:48:00,860.0
2016-04-19 05:51:00,840.0
2016-04-19 05:54:00,1040.0
2016-04-19 05:57:00,920.0
2016-04-19 06:00:00,800.0
2016-04-19 06:03:00,920.0
2016-04-19 06:06:00,680.0
